any,tipus_de_territori,territori,renda,preu_lloguer,poblacio_total,Espanya,No consta,Resta de la Unió Europea,Resta del món,Educació primària o inferior,Educació superior,Primera etapa d’educació secundària i similar,Segona etapa d’educació secundària i similar,atur,num_contractes,superficie_mitja,hut,territori_id,pct_ue,pct_mon,indicador_socio,indicador_housing,indicador_demo,indicador_turisme,indicador_global_pca,indicador_gentrificacio,cluster,cluster_label,pc1,pc2,creixement,categoria_gentrificacio
2020,Barri,el raval,-1.3813650315039163,0.3903114621418934,48180,22660.0,12.0,5602.0,19906.0,,,,,3065.0,-0.6811519230837404,-0.5624957909296918,-0.1781176539946216,22,2.168618748284527,3.869152215061379,-0.8750042485057828,0.3903114621418934,3.018885481672953,-0.1781176539946216,2.448940647367711,0.4227457296264995,1,Gentrificació residencial,1.3809307770546706,-3.1954533081727456,0.7583392989243755,Gentrificació moderada
2021,Barri,el raval,-1.2535406770210875,0.0219997248101774,48688,22691.0,15.0,5033.0,20949.0,7893.0,14076.0,10143.0,8451.0,5179.0,-0.464235293477817,-0.5624957909296918,-0.1801691534737452,22,1.8057233826002523,4.094152952706111,-0.7600905871428655,0.0219997248101774,2.949938167653181,-0.1801691534737452,2.227948557637606,0.3325265441360809,1,Gentrificació residencial,1.0291943655817524,-3.0718641358854306,0.7583392989243755,Gentrificació moderada
2022,Barri,el raval,,0.7921060846855835,46520,22369.0,19.0,4909.0,19223.0,6921.0,13683.0,9957.0,8199.0,3039.0,-0.616805385570043,-0.4432575123594965,-0.169911656078127,22,1.8662633799380373,3.869956071069784,-0.5300314489647698,0.7921060846855835,2.8681097255039107,-0.169911656078127,2.5767304948201555,0.6182620046014008,1,Gentrificació residencial,2.1697968508974994,-2.5105122516438425,0.7583392989243755,Gentrificació moderada
2023,Barri,el raval,,1.0264862811694029,45671,22396.0,19.0,4563.0,18693.0,6640.0,14543.0,9735.0,8490.0,2901.0,-0.7863726762507928,-0.4591559495021895,1.800553593620126,22,1.7083235148165148,3.818369055649751,-0.6227643128764911,1.0264862811694029,2.763346285233133,1.800553593620126,3.1753063314266328,1.033896566258525,1,Gentrificació residencial,3.921132843170215,-3.7246700699795,0.7583392989243755,Gentrificació moderada
2024,Barri,el raval,,1.0264862811694029,46934,22634.0,20.0,4840.0,19440.0,,,,,2908.0,-0.8462675665151149,-0.4194098566454577,2.067248525906199,22,1.7987197106032533,3.882823153458545,-0.6328387115802864,1.0264862811694029,2.840771432030899,2.067248525906199,3.314955484056528,1.0996982624641545,1,Gentrificació residencial,4.187339486405627,-3.9588234253477856,0.7583392989243755,Gentrificació moderada
2025,Barri,el raval,,1.260866477653222,49917,23364.0,18.0,5064.0,21471.0,,,,,2896.0,-0.843839395288183,-0.7930231294987359,,22,1.751595230422187,4.092361105194849,-0.8184312623934594,1.260866477653222,2.921978167808517,1.0092936587501425e-17,2.8596767790470827,0.7171261981396324,1,Gentrificació residencial,2.5657422790308466,-2.9466090843937613,0.7583392989243755,Gentrificació moderada
2000,Barri,el turo de la peira,,,14470,13965.0,0.0,26.0,479.0,,,,,,,,,23,-1.051785252940879,-1.128297255469944,0.0033723453127869,3.6921966638804284e-16,-1.0900412542054116,1.0092936587501425e-17,-0.8792123221486651,-0.2169965472472461,0,Intermedi,-0.7612382851611104,0.7813694252163479,0.1981121308923561,Desgentrificació
2001,Barri,el turo de la peira,,,14488,13661.0,0.0,29.0,798.0,0.0,0.0,0.0,0.0,,,,,23,-1.046022856398138,-0.8393150652551566,0.0033723453127869,3.6921966638804284e-16,-0.9426689608266472,1.0092936587501425e-17,-0.7603438520040472,-0.1875220885714932,0,Intermedi,-0.6583197658306759,0.6757291994671669,0.1981121308923561,Desgentrificació
2002,Barri,el turo de la peira,,,14667,13400.0,0.0,43.0,1221.0,,,,,,,,,23,-1.019857590328469,-0.4689265974238888,0.0033723453127869,3.6921966638804284e-16,-0.744392093876179,1.0092936587501425e-17,-0.6004164511397931,-0.1478667151813996,0,Intermedi,-0.5198516651031332,0.5335992745995797,0.1981121308923561,Desgentrificació
2003,Barri,el turo de la peira,,,14797,12970.0,0.0,56.0,1768.0,,,,,,,,,23,-0.9958667912485456,0.0075437868666023,0.0033723453127869,3.6921966638804284e-16,-0.4941615021909716,1.0092936587501425e-17,-0.3985838886203503,-0.0978205968443581,0,Intermedi,-0.3451013005876617,0.3542275922505993,0.1981121308923561,Desgentrificació
2004,Barri,el turo de la peira,,,15023,12738.0,0.0,89.0,2196.0,,,,,,,,,23,-0.93567317478205,0.3585258477369883,0.0033723453127869,3.6921966638804284e-16,-0.2885736635225308,1.0092936587501425e-17,-0.232759558262352,-0.0567030291106699,0,Intermedi,-0.2015275292701485,0.2068569760357755,0.1981121308923561,Desgentrificació
2005,Barri,el turo de la peira,,,15213,12474.0,0.0,105.0,2631.0,,,,,,,,,23,-0.9081675054973,0.7105091478326305,0.0033723453127869,3.6921966638804284e-16,-0.0988291788323346,1.0092936587501425e-17,-0.0797142598796067,-0.0187541321726307,0,Intermedi,-0.069018080121241,0.070843280803272,0.1981121308923561,Desgentrificació
2006,Barri,el turo de la peira,,,15167,12072.0,0.0,115.0,2976.0,,,,,,,,,23,-0.8890305749797336,1.016508836874861,0.0033723453127869,3.6921966638804284e-16,0.0637391309475636,1.0092936587501425e-17,0.051411108630926,0.0137595297833489,0,Intermedi,0.0445126884445781,-0.0456898378113147,0.1981121308923561,Desgentrificació
2007,Barri,el turo de la peira,,,15047,11891.0,0.0,187.0,2965.0,,,,,,,,,23,-0.7527185261094855,1.0274723864039306,0.0033723453127869,3.6921966638804284e-16,0.1373769301472225,1.0092936587501425e-17,0.1108063472812686,0.0284870896232807,0,Intermedi,0.0959381842866127,-0.0984752939698314,0.1981121308923561,Desgentrificació
2008,Barri,el turo de la peira,,,15186,11779.0,0.0,218.0,3186.0,,,,,,,,,23,-0.698491605355046,1.1951154302279905,0.0033723453127869,3.6921966638804284e-16,0.2483119124364721,1.0092936587501425e-17,0.2002849821583962,0.0506740860811306,0,Intermedi,0.1734104408241004,-0.1779963240348111,0.1981121308923561,Desgentrificació
2009,Barri,el turo de la peira,,,15341,11719.0,0.0,245.0,3375.0,,,,,,,,,23,-0.6530601648002242,1.3292403235468706,0.0033723453127869,3.6921966638804284e-16,0.3380900793733232,1.0092936587501425e-17,0.2726988200074403,0.0686297194685008,0,Intermedi,0.2361076805664025,-0.2423516082277572,0.1981121308923561,Desgentrificació
2010,Barri,el turo de la peira,,,15339,11792.0,0.0,237.0,3310.0,,,,,,,,,23,-0.6676736350653967,1.2738967379731327,0.0033723453127869,3.6921966638804284e-16,0.303111551453868,1.0092936587501425e-17,0.244485619232921,0.0616340138846098,0,Intermedi,0.2116801696734539,-0.2172781055966464,0.1981121308923561,Desgentrificació
2011,Barri,el turo de la peira,,,15425,11904.0,0.0,228.0,3293.0,0.0,0.0,0.0,0.0,1031.0,,,,23,-0.6865110484200563,1.2435849169186308,0.0033723453127869,3.6921966638804284e-16,0.2785369342492872,1.0092936587501425e-17,0.2246640701172373,0.0567190904436936,0,Intermedi,0.1945183059484498,-0.1996623920206935,0.1981121308923561,Desgentrificació
2012,Barri,el turo de la peira,,,15569,11857.0,0.0,242.0,3470.0,,,,,1182.0,,,,23,-0.6650602734438119,1.3671114798083153,0.0033723453127869,3.6921966638804284e-16,0.3510256031822517,1.0092936587501425e-17,0.2831324360585573,0.0712168242302865,0,Intermedi,0.2451412982611268,-0.2516241222399197,0.1981121308923561,Desgentrificació
2013,Barri,el turo de la peira,,,15432,11862.0,0.0,254.0,3316.0,,,,,1219.0,,,,23,-0.6393028715142903,1.2619093398569998,0.0033723453127869,3.6921966638804284e-16,0.3113032341713547,1.0092936587501425e-17,0.2510929181370314,0.0632723504281071,0,Intermedi,0.2174008912336567,-0.2231501130934481,0.1981121308923561,Desgentrificació
2014,Barri,el turo de la peira,,-1.6856274210005058,15350,11951.0,0.0,240.0,3159.0,,,,,1206.0,-0.0486133184679601,-0.5624957909296918,,23,-0.6624870416946582,1.1425124954345784,-0.305554554698826,-1.6856274210005058,0.2400127268699601,1.0092936587501425e-17,-0.6798566392349057,-0.5493520473358074,2,Baixa gentrificació,-2.2042858816232505,-1.0124861341289748,0.1981121308923561,Desgentrificació
2015,Barri,el turo de la peira,-0.9342969574400166,-1.5182129949406349,15328,12225.0,0.0,237.0,2866.0,,,,,1126.0,-0.2266792084429718,-0.5863434466437306,,23,-0.6673617056480375,0.8950441574860002,-0.5824398708422397,-1.5182129949406349,0.1138412259189813,1.0092936587501425e-17,-0.7388385751477559,-0.6074276145510661,2,Baixa gentrificació,-2.421695323509567,-1.271117644088344,0.1981121308923561,Desgentrificació
2016,Barri,el turo de la peira,-0.9972338978235316,-1.1164183723969447,15334,12269.0,0.0,230.0,2834.0,,,,,1021.0,-0.0607541746026199,-0.7930231294987359,,23,-0.6803741338368327,0.8666414219413509,-0.6170037339749624,-1.1164183723969447,0.0931336440522591,1.0092936587501425e-17,-0.5628078649786491,-0.5013999031011204,2,Baixa gentrificació,-1.999138832672968,-1.2081108493791004,0.1981121308923561,Desgentrificació
2017,Barri,el turo de la peira,-1.0254112054315836,-0.7481066350652287,15466,12231.0,0.0,242.0,2992.0,,,,,8760.0,0.1375464755968249,-0.840718440926814,,23,-0.6621481370744556,0.98023200052523,-0.5761943902538575,-0.7481066350652287,0.1590419317253872,1.0092936587501425e-17,-0.3226130025259479,-0.3654819212506484,2,Baixa gentrificació,-1.4665125337691838,-1.1092561714704965,0.1981121308923561,Desgentrificació
2018,Barri,el turo de la peira,-1.003972292509007,-0.5137264385814094,15575,12172.0,0.0,274.0,3128.0,,,,,8430.0,0.2630019889883104,-0.7373785994993117,,23,-0.6074297997288022,1.0772478685502085,-0.4927829676733362,-0.5137264385814094,0.2349090344107031,1.0092936587501425e-17,-0.1341872194502475,-0.254971014994283,2,Baixa gentrificació,-1.0357325230591587,-0.9898842963299328,0.1981121308923561,Desgentrificació
2019,Barri,el turo de la peira,-1.0564338584752824,-0.3797948977335127,15783,12133.0,0.0,300.0,3349.0,,,,,7820.0,0.343941029886043,-0.7532770366420041,,23,-0.567609267890381,1.2265662238844466,-0.4885899550770811,-0.3797948977335127,0.3294784779970328,1.0092936587501425e-17,0.0085817735654581,-0.1946197602437716,0,Intermedi,-0.8053746137496912,-1.0195200195667329,0.1981121308923561,Desgentrificació
2020,Barri,el turo de la peira,-1.0495519664285802,-0.4132777829454869,16229,12203.0,0.0,321.0,3703.0,,,,,7770.0,-0.0607541746026199,-0.7135309437852724,,23,-0.5459023600382242,1.4367103471428908,-0.6079456949388241,-0.4132777829454869,0.4454039935523333,1.0092936587501425e-17,0.068552279124035,-0.2172862446548266,2,Baixa gentrificació,-0.90584535471331,-1.2785379450189105,0.1981121308923561,Desgentrificació
2021,Barri,el turo de la peira,-0.9715992888562348,-0.5137264385814094,16186,12083.0,0.0,297.0,3803.0,2730.0,3876.0,3588.0,3501.0,1061.0,0.3237062696616099,-0.681734069499887,,23,-0.5861369564179415,1.5259193411315266,-0.4432090295648372,-0.5137264385814094,0.4698911923567925,1.0092936587501425e-17,0.0624322259913959,-0.1931024019725155,0,Intermedi,-0.8128208896137865,-1.088607496324154,0.1981121308923561,Desgentrificació
2022,Barri,el turo de la peira,,-0.3128291273095643,16025,12117.0,0.0,306.0,3599.0,2478.0,3963.0,3607.0,3589.0,7430.0,0.1334995235519382,-0.6578864137858482,,23,-0.565151373510368,1.389567573536763,-0.2621934451169549,-0.3128291273095643,0.4122081000131974,1.0092936587501425e-17,0.1406169094953908,-0.0900651517253163,0,Intermedi,-0.3993528191778203,-0.7443027044877679,0.1981121308923561,Desgentrificació
