any,tipus_de_territori,territori,renda,preu_lloguer,poblacio_total,Espanya,No consta,Resta de la Unió Europea,Resta del món,Educació primària o inferior,Educació superior,Primera etapa d’educació secundària i similar,Segona etapa d’educació secundària i similar,atur,num_contractes,superficie_mitja,hut,territori_id
2010,Barri,el baix guinardo,,,26019,22332.0,0.0,950.0,2734.0,,,,,,,,,6
2011,Barri,el baix guinardo,,,26002,22358.0,0.0,875.0,2766.0,0.0,0.0,0.0,0.0,1537.0,,,,6
2012,Barri,el baix guinardo,,,25906,22325.0,0.0,886.0,2694.0,,,,,164.0,,,,6
2013,Barri,el baix guinardo,,,25647,22123.0,0.0,907.0,2616.0,,,,,1637.0,,,,6
2014,Barri,el baix guinardo,,96.0,25536,22162.0,0.0,962.0,2410.0,,,,,1523.0,6010.0,69.3,87.0,6
2015,Barri,el baix guinardo,100.534187128548,106.0,25474,22226.0,0.0,1032.0,2214.0,,,,,1406.0,6050.0,64.7,87.0,6
2016,Barri,el baix guinardo,98.3550299282782,114.0,25563,22246.0,0.0,1065.0,2251.0,,,,,1247.0,6090.0,64.7,106.0,6
2017,Barri,el baix guinardo,96.5703076201442,126.0,25734,22249.0,0.0,1115.0,2369.0,,,,,1107.0,7460.0,65.0,106.0,6
2018,Barri,el baix guinardo,96.7410067982145,127.0,25793,22101.0,0.0,1200.0,2490.0,,,,,104.0,8130.0,68.8,106.0,6
2019,Barri,el baix guinardo,97.7437859023779,135.0,25990,22023.0,0.0,1312.0,2652.0,,,,,9690.0,7770.0,69.1,92.0,6
2020,Barri,el baix guinardo,97.6135009433272,138.0,26180,21925.0,0.0,1377.0,2876.0,,,,,9980.0,6200.0,68.2,92.0,6
2021,Barri,el baix guinardo,99.0861712298037,126.0,25842,21386.0,0.0,1362.0,3091.0,2646.0,11055.0,3630.0,5442.0,1302.0,8650.0,67.9,76.0,6
2022,Barri,el baix guinardo,,140.0,25591,21018.0,0.0,1494.0,3075.0,2456.0,11188.0,3593.0,5386.0,8770.0,6840.0,67.2,73.0,6
2023,Barri,el baix guinardo,,155.0,25719,20851.0,0.0,1509.0,3357.0,2351.0,11640.0,3547.0,5458.0,8390.0,5380.0,69.9,810.0,6
2024,Barri,el baix guinardo,,157.0,26280,20886.0,0.0,1681.0,3709.0,,,,,8960.0,4310.0,67.6,860.0,6
2025,Barri,el baix guinardo,,159.0,26536,20855.0,6.0,1763.0,3912.0,,,,,8680.0,4530.0,67.2,,6
2000,Barri,el barri gotic,,,14807,13107.0,6.0,438.0,1256.0,,,,,,,,,7
2001,Barri,el barri gotic,,,16301,12788.0,8.0,561.0,2944.0,0.0,0.0,0.0,0.0,,,,,7
2002,Barri,el barri gotic,,,19835,12605.0,22.0,835.0,6373.0,,,,,,,,,7
2003,Barri,el barri gotic,,,22680,12414.0,22.0,1149.0,9095.0,,,,,,,,,7
2004,Barri,el barri gotic,,,25089,12318.0,21.0,1467.0,11283.0,,,,,,,,,7
2005,Barri,el barri gotic,,,27129,12085.0,28.0,1949.0,13067.0,,,,,,,,,7
2006,Barri,el barri gotic,,,27556,11891.0,28.0,2383.0,13254.0,,,,,,,,,7
2007,Barri,el barri gotic,,,27663,11752.0,18.0,3396.0,12497.0,,,,,,,,,7
2008,Barri,el barri gotic,,,25505,11252.0,17.0,3721.0,10515.0,,,,,,,,,7
2009,Barri,el barri gotic,,,22793,10790.0,7.0,3915.0,8081.0,,,,,,,,,7
2010,Barri,el barri gotic,,,18520,10514.0,5.0,2978.0,5023.0,,,,,,,,,7
2011,Barri,el barri gotic,,,17678,10323.0,0.0,2709.0,4643.0,0.0,0.0,0.0,0.0,1468.0,,,,7
2012,Barri,el barri gotic,,,16881,10102.0,0.0,2672.0,4103.0,,,,,1506.0,,,,7
2013,Barri,el barri gotic,,,16276,9703.0,0.0,2829.0,3740.0,,,,,1357.0,,,,7
2014,Barri,el barri gotic,,105.0,15735,9126.0,0.0,3081.0,3525.0,,,,,1222.0,6300.0,81.6,184.0,7
