territori,tipus_de_territori,any,atur
el carmel,Barri,2025,1452.0
la teixonera,Barri,2025,4810.0
sant genis dels agudells,Barri,2025,2840.0
montbau,Barri,2025,1960.0
la vall dhebron,Barri,2025,2300.0
la clota,Barri,2025,270.0
horta,Barri,2025,1264.0
vilapicina i la torre llobeta,Barri,2025,1154.0
porta,Barri,2025,1272.0
el turo de la peira,Barri,2025,7190.0
can peguera,Barri,2025,1040.0
la guineueta,Barri,2025,8130.0
canyelles,Barri,2025,3660.0
les roquetes,Barri,2025,8720.0
verdun,Barri,2025,6780.0
la prosperitat,Barri,2025,1223.0
la trinitat nova,Barri,2025,5200.0
torre baro,Barri,2025,2110.0
ciutat meridiana,Barri,2025,7830.0
vallbona,Barri,2025,1030.0
la trinitat vella,Barri,2025,7500.0
baro de viver,Barri,2025,1060.0
el bon pastor,Barri,2025,5530.0
sant andreu,Barri,2025,2352.0
la sagrera,Barri,2025,1107.0
el congres i els indians,Barri,2025,5380.0
navas,Barri,2025,8240.0
el camp de larpa del clot,Barri,2025,1531.0
el clot,Barri,2025,1035.0
el parc i la llacuna del poblenou,Barri,2025,6100.0
la vila olimpica del poblenou,Barri,2025,3400.0
el poblenou,Barri,2025,1248.0
diagonal mar i el front maritim del poblenou,Barri,2025,6710.0
el besos i el maresme,Barri,2025,1345.0
provencals del poblenou,Barri,2025,9300.0
sant marti de provencals,Barri,2025,1158.0
la verneda i la pau,Barri,2025,13.0
no consta,Barri,2025,320.0
el raval,Barri,2026,2786.0
el barri gotic,Barri,2026,1017.0
la barceloneta,Barri,2026,8240.0
sant pere santa caterina i la ribera,Barri,2026,1258.0
el fort pienc,Barri,2026,1208.0
la sagrada familia,Barri,2026,1823.0
la dreta de leixample,Barri,2026,1283.0
lantiga esquerra de leixample,Barri,2026,1241.0
la nova esquerra de leixample,Barri,2026,1877.0
sant antoni,Barri,2026,1401.0
el poble sec,Barri,2026,1813.0
la marina del prat vermell,Barri,2026,830.0
la marina de port,Barri,2026,1494.0
la font de la guatlla,Barri,2026,4820.0
hostafrancs,Barri,2026,6020.0
la bordeta,Barri,2026,7300.0
sants badal,Barri,2026,7590.0
sants,Barri,2026,149.0
les corts,Barri,2026,1415.0
la maternitat i sant ramon,Barri,2026,7430.0
pedralbes,Barri,2026,1910.0
vallvidrera el tibidabo i les planes,Barri,2026,990.0
sarria,Barri,2026,4310.0
les tres torres,Barri,2026,3200.0
sant gervasi la bonanova,Barri,2026,5510.0
sant gervasi galvany,Barri,2026,1031.0
el putxet i el farro,Barri,2026,8170.0
vallcarca i els penitents,Barri,2026,5220.0
el coll,Barri,2026,2430.0
la salut,Barri,2026,4740.0
la vila de gracia,Barri,2026,1865.0
el camp den grassot i gracia nova,Barri,2026,1198.0
el baix guinardo,Barri,2026,8980.0
can baro,Barri,2026,3350.0
el guinardo,Barri,2026,147.0
la font den fargues,Barri,2026,4260.0
el carmel,Barri,2026,1428.0
la teixonera,Barri,2026,4820.0
sant genis dels agudells,Barri,2026,2860.0
montbau,Barri,2026,1980.0
la vall dhebron,Barri,2026,2310.0
la clota,Barri,2026,270.0
horta,Barri,2026,1223.0
vilapicina i la torre llobeta,Barri,2026,1123.0
porta,Barri,2026,1264.0
el turo de la peira,Barri,2026,6900.0
can peguera,Barri,2026,1000.0
la guineueta,Barri,2026,7780.0
canyelles,Barri,2026,3500.0
les roquetes,Barri,2026,8350.0
verdun,Barri,2026,6490.0
la prosperitat,Barri,2026,1216.0
la trinitat nova,Barri,2026,4990.0
torre baro,Barri,2026,2020.0
ciutat meridiana,Barri,2026,7520.0
vallbona,Barri,2026,990.0
la trinitat vella,Barri,2026,7200.0
baro de viver,Barri,2026,1060.0
el bon pastor,Barri,2026,5530.0
sant andreu,Barri,2026,2349.0
la sagrera,Barri,2026,1104.0
el congres i els indians,Barri,2026,5370.0
navas,Barri,2026,8260.0
el camp de larpa del clot,Barri,2026,155.0
el clot,Barri,2026,1055.0
el parc i la llacuna del poblenou,Barri,2026,6240.0
la vila olimpica del poblenou,Barri,2026,3360.0
el poblenou,Barri,2026,1239.0
diagonal mar i el front maritim del poblenou,Barri,2026,6700.0
el besos i el maresme,Barri,2026,1339.0
provencals del poblenou,Barri,2026,9130.0
sant marti de provencals,Barri,2026,1091.0
la verneda i la pau,Barri,2026,1219.0
no consta,Barri,2026,210.0
