territori,tipus_de_territori,any,atur
vallbona,Barri,2008,
la trinitat vella,Barri,2008,
baro de viver,Barri,2008,
el bon pastor,Barri,2008,
sant andreu,Barri,2008,
la sagrera,Barri,2008,
el congres i els indians,Barri,2008,
navas,Barri,2008,
el camp de larpa del clot,Barri,2008,
el clot,Barri,2008,
el parc i la llacuna del poblenou,Barri,2008,
la vila olimpica del poblenou,Barri,2008,
el poblenou,Barri,2008,
diagonal mar i el front maritim del poblenou,Barri,2008,
el besos i el maresme,Barri,2008,
provencals del poblenou,Barri,2008,
sant marti de provencals,Barri,2008,
la verneda i la pau,Barri,2008,
no consta,Barri,2008,
el raval,Barri,2009,
el barri gotic,Barri,2009,
la barceloneta,Barri,2009,
sant pere santa caterina i la ribera,Barri,2009,
el fort pienc,Barri,2009,
la sagrada familia,Barri,2009,
la dreta de leixample,Barri,2009,
lantiga esquerra de leixample,Barri,2009,
la nova esquerra de leixample,Barri,2009,
sant antoni,Barri,2009,
el poble sec,Barri,2009,
la marina del prat vermell,Barri,2009,
la marina de port,Barri,2009,
la font de la guatlla,Barri,2009,
hostafrancs,Barri,2009,
la bordeta,Barri,2009,
sants badal,Barri,2009,
sants,Barri,2009,
les corts,Barri,2009,
la maternitat i sant ramon,Barri,2009,
pedralbes,Barri,2009,
vallvidrera el tibidabo i les planes,Barri,2009,
sarria,Barri,2009,
les tres torres,Barri,2009,
sant gervasi la bonanova,Barri,2009,
sant gervasi galvany,Barri,2009,
el putxet i el farro,Barri,2009,
vallcarca i els penitents,Barri,2009,
el coll,Barri,2009,
la salut,Barri,2009,
la vila de gracia,Barri,2009,
el camp den grassot i gracia nova,Barri,2009,
el baix guinardo,Barri,2009,
can baro,Barri,2009,
el guinardo,Barri,2009,
la font den fargues,Barri,2009,
el carmel,Barri,2009,
la teixonera,Barri,2009,
sant genis dels agudells,Barri,2009,
montbau,Barri,2009,
la vall dhebron,Barri,2009,
la clota,Barri,2009,
horta,Barri,2009,
vilapicina i la torre llobeta,Barri,2009,
porta,Barri,2009,
el turo de la peira,Barri,2009,
can peguera,Barri,2009,
la guineueta,Barri,2009,
canyelles,Barri,2009,
les roquetes,Barri,2009,
verdun,Barri,2009,
la prosperitat,Barri,2009,
la trinitat nova,Barri,2009,
torre baro,Barri,2009,
ciutat meridiana,Barri,2009,
vallbona,Barri,2009,
la trinitat vella,Barri,2009,
baro de viver,Barri,2009,
el bon pastor,Barri,2009,
sant andreu,Barri,2009,
la sagrera,Barri,2009,
el congres i els indians,Barri,2009,
navas,Barri,2009,
el camp de larpa del clot,Barri,2009,
el clot,Barri,2009,
el parc i la llacuna del poblenou,Barri,2009,
la vila olimpica del poblenou,Barri,2009,
el poblenou,Barri,2009,
diagonal mar i el front maritim del poblenou,Barri,2009,
el besos i el maresme,Barri,2009,
provencals del poblenou,Barri,2009,
sant marti de provencals,Barri,2009,
la verneda i la pau,Barri,2009,
no consta,Barri,2009,
el raval,Barri,2010,
el barri gotic,Barri,2010,
la barceloneta,Barri,2010,
sant pere santa caterina i la ribera,Barri,2010,
el fort pienc,Barri,2010,
la sagrada familia,Barri,2010,
la dreta de leixample,Barri,2010,
lantiga esquerra de leixample,Barri,2010,
la nova esquerra de leixample,Barri,2010,
sant antoni,Barri,2010,
el poble sec,Barri,2010,
la marina del prat vermell,Barri,2010,
la marina de port,Barri,2010,
la font de la guatlla,Barri,2010,
hostafrancs,Barri,2010,
la bordeta,Barri,2010,
sants badal,Barri,2010,
sants,Barri,2010,
les corts,Barri,2010,
la maternitat i sant ramon,Barri,2010,
pedralbes,Barri,2010,
vallvidrera el tibidabo i les planes,Barri,2010,
sarria,Barri,2010,
les tres torres,Barri,2010,
sant gervasi la bonanova,Barri,2010,
sant gervasi galvany,Barri,2010,
el putxet i el farro,Barri,2010,
vallcarca i els penitents,Barri,2010,
el coll,Barri,2010,
la salut,Barri,2010,
la vila de gracia,Barri,2010,
el camp den grassot i gracia nova,Barri,2010,
el baix guinardo,Barri,2010,
can baro,Barri,2010,
el guinardo,Barri,2010,
la font den fargues,Barri,2010,
el carmel,Barri,2010,
la teixonera,Barri,2010,
sant genis dels agudells,Barri,2010,
montbau,Barri,2010,
la vall dhebron,Barri,2010,
la clota,Barri,2010,
horta,Barri,2010,
vilapicina i la torre llobeta,Barri,2010,
porta,Barri,2010,
el turo de la peira,Barri,2010,
can peguera,Barri,2010,
la guineueta,Barri,2010,
canyelles,Barri,2010,
les roquetes,Barri,2010,
verdun,Barri,2010,
la prosperitat,Barri,2010,
la trinitat nova,Barri,2010,
torre baro,Barri,2010,
ciutat meridiana,Barri,2010,
vallbona,Barri,2010,
la trinitat vella,Barri,2010,
baro de viver,Barri,2010,
el bon pastor,Barri,2010,
sant andreu,Barri,2010,
la sagrera,Barri,2010,
el congres i els indians,Barri,2010,
navas,Barri,2010,
el camp de larpa del clot,Barri,2010,
el clot,Barri,2010,
el parc i la llacuna del poblenou,Barri,2010,
la vila olimpica del poblenou,Barri,2010,
el poblenou,Barri,2010,
diagonal mar i el front maritim del poblenou,Barri,2010,
el besos i el maresme,Barri,2010,
provencals del poblenou,Barri,2010,
sant marti de provencals,Barri,2010,
la verneda i la pau,Barri,2010,
no consta,Barri,2010,
el raval,Barri,2011,5034.0
el barri gotic,Barri,2011,1468.0
la barceloneta,Barri,2011,1463.0
sant pere santa caterina i la ribera,Barri,2011,2023.0
el fort pienc,Barri,2011,1901.0
la sagrada familia,Barri,2011,3084.0
la dreta de leixample,Barri,2011,2071.0
lantiga esquerra de leixample,Barri,2011,24.0
la nova esquerra de leixample,Barri,2011,3211.0
sant antoni,Barri,2011,2351.0
el poble sec,Barri,2011,3389.0
la marina del prat vermell,Barri,2011,1190.0
la marina de port,Barri,2011,2216.0
la font de la guatlla,Barri,2011,8460.0
hostafrancs,Barri,2011,1041.0
la bordeta,Barri,2011,1221.0
sants badal,Barri,2011,1323.0
sants,Barri,2011,2505.0
les corts,Barri,2011,2544.0
la maternitat i sant ramon,Barri,2011,1309.0
pedralbes,Barri,2011,3190.0
vallvidrera el tibidabo i les planes,Barri,2011,1160.0
sarria,Barri,2011,6600.0
les tres torres,Barri,2011,4530.0
sant gervasi la bonanova,Barri,2011,8440.0
sant gervasi galvany,Barri,2011,1692.0
el putxet i el farro,Barri,2011,1487.0
vallcarca i els penitents,Barri,2011,9160.0
el coll,Barri,2011,3890.0
la salut,Barri,2011,7900.0
la vila de gracia,Barri,2011,3222.0
el camp den grassot i gracia nova,Barri,2011,2002.0
el baix guinardo,Barri,2011,1537.0
can baro,Barri,2011,5670.0
el guinardo,Barri,2011,2267.0
la font den fargues,Barri,2011,7220.0
el carmel,Barri,2011,2464.0
la teixonera,Barri,2011,6980.0
sant genis dels agudells,Barri,2011,4130.0
montbau,Barri,2011,2980.0
la vall dhebron,Barri,2011,3180.0
la clota,Barri,2011,220.0
horta,Barri,2011,1886.0
vilapicina i la torre llobeta,Barri,2011,1695.0
porta,Barri,2011,1689.0
el turo de la peira,Barri,2011,1031.0
can peguera,Barri,2011,1480.0
la guineueta,Barri,2011,1265.0
canyelles,Barri,2011,6170.0
les roquetes,Barri,2011,1339.0
verdun,Barri,2011,1026.0
la prosperitat,Barri,2011,1897.0
la trinitat nova,Barri,2011,8570.0
torre baro,Barri,2011,2360.0
ciutat meridiana,Barri,2011,1232.0
vallbona,Barri,2011,1430.0
la trinitat vella,Barri,2011,1141.0
baro de viver,Barri,2011,1700.0
el bon pastor,Barri,2011,9670.0
sant andreu,Barri,2011,3914.0
la sagrera,Barri,2011,1884.0
el congres i els indians,Barri,2011,9170.0
navas,Barri,2011,1404.0
el camp de larpa del clot,Barri,2011,2701.0
el clot,Barri,2011,1754.0
el parc i la llacuna del poblenou,Barri,2011,8230.0
la vila olimpica del poblenou,Barri,2011,5720.0
el poblenou,Barri,2011,1954.0
diagonal mar i el front maritim del poblenou,Barri,2011,9100.0
el besos i el maresme,Barri,2011,208.0
provencals del poblenou,Barri,2011,1367.0
sant marti de provencals,Barri,2011,1926.0
la verneda i la pau,Barri,2011,2184.0
no consta,Barri,2011,120.0
el raval,Barri,2012,5053.0
el barri gotic,Barri,2012,1506.0
la barceloneta,Barri,2012,152.0
sant pere santa caterina i la ribera,Barri,2012,2102.0
el fort pienc,Barri,2012,1987.0
la sagrada familia,Barri,2012,3265.0
la dreta de leixample,Barri,2012,2223.0
lantiga esquerra de leixample,Barri,2012,2508.0
la nova esquerra de leixample,Barri,2012,3499.0
sant antoni,Barri,2012,2579.0
el poble sec,Barri,2012,3578.0
la marina del prat vermell,Barri,2012,1430.0
la marina de port,Barri,2012,236.0
la font de la guatlla,Barri,2012,8940.0
