territori,tipus_de_territori,any,superficie_mitja
baro de viver,Barri,2022,83.0
el bon pastor,Barri,2022,67.4
sant andreu,Barri,2022,67.7
la sagrera,Barri,2022,66.0
el congres i els indians,Barri,2022,69.1
navas,Barri,2022,72.1
el camp de larpa del clot,Barri,2022,66.1
el clot,Barri,2022,69.9
el parc i la llacuna del poblenou,Barri,2022,71.3
la vila olimpica del poblenou,Barri,2022,83.6
el poblenou,Barri,2022,66.9
diagonal mar i el front maritim del poblenou,Barri,2022,82.0
el besos i el maresme,Barri,2022,65.9
provencals del poblenou,Barri,2022,72.0
sant marti de provencals,Barri,2022,73.0
la verneda i la pau,Barri,2022,68.5
el raval,Barri,2023,64.8
el barri gotic,Barri,2023,85.5
la barceloneta,Barri,2023,57.9
sant pere santa caterina i la ribera,Barri,2023,72.0
el fort pienc,Barri,2023,77.2
la sagrada familia,Barri,2023,70.2
la dreta de leixample,Barri,2023,102.6
lantiga esquerra de leixample,Barri,2023,86.1
la nova esquerra de leixample,Barri,2023,74.1
sant antoni,Barri,2023,76.2
el poble sec,Barri,2023,61.2
la marina del prat vermell,Barri,2023,56.0
la marina de port,Barri,2023,71.1
la font de la guatlla,Barri,2023,68.4
hostafrancs,Barri,2023,64.1
la bordeta,Barri,2023,66.0
sants badal,Barri,2023,65.1
sants,Barri,2023,66.9
les corts,Barri,2023,75.8
la maternitat i sant ramon,Barri,2023,78.2
pedralbes,Barri,2023,115.0
vallvidrera el tibidabo i les planes,Barri,2023,83.4
sarria,Barri,2023,82.2
les tres torres,Barri,2023,107.3
sant gervasi la bonanova,Barri,2023,92.4
sant gervasi galvany,Barri,2023,101.3
el putxet i el farro,Barri,2023,78.3
vallcarca i els penitents,Barri,2023,71.6
el coll,Barri,2023,65.0
la salut,Barri,2023,72.4
la vila de gracia,Barri,2023,68.5
el camp den grassot i gracia nova,Barri,2023,72.4
el baix guinardo,Barri,2023,69.9
can baro,Barri,2023,62.4
el guinardo,Barri,2023,67.2
la font den fargues,Barri,2023,68.9
el carmel,Barri,2023,59.5
la teixonera,Barri,2023,60.6
sant genis dels agudells,Barri,2023,69.5
montbau,Barri,2023,67.4
la vall dhebron,Barri,2023,65.9
la clota,Barri,2023,60.4
horta,Barri,2023,66.4
vilapicina i la torre llobeta,Barri,2023,68.8
porta,Barri,2023,63.7
el turo de la peira,Barri,2023,62.2
can peguera,Barri,2023,52.0
la guineueta,Barri,2023,69.1
canyelles,Barri,2023,78.5
les roquetes,Barri,2023,56.5
verdun,Barri,2023,53.8
la prosperitat,Barri,2023,58.3
la trinitat nova,Barri,2023,53.5
torre baro,Barri,2023,66.2
ciutat meridiana,Barri,2023,59.1
vallbona,Barri,2023,62.0
la trinitat vella,Barri,2023,60.7
baro de viver,Barri,2023,77.3
el bon pastor,Barri,2023,72.9
sant andreu,Barri,2023,67.8
la sagrera,Barri,2023,67.5
el congres i els indians,Barri,2023,70.1
navas,Barri,2023,70.9
el camp de larpa del clot,Barri,2023,65.6
el clot,Barri,2023,72.6
el parc i la llacuna del poblenou,Barri,2023,73.7
la vila olimpica del poblenou,Barri,2023,81.5
el poblenou,Barri,2023,68.3
diagonal mar i el front maritim del poblenou,Barri,2023,79.6
el besos i el maresme,Barri,2023,63.6
provencals del poblenou,Barri,2023,72.4
sant marti de provencals,Barri,2023,73.6
la verneda i la pau,Barri,2023,66.1
el raval,Barri,2024,65.3
el barri gotic,Barri,2024,80.9
la barceloneta,Barri,2024,55.3
sant pere santa caterina i la ribera,Barri,2024,73.0
el fort pienc,Barri,2024,77.2
la sagrada familia,Barri,2024,70.8
la dreta de leixample,Barri,2024,101.8
lantiga esquerra de leixample,Barri,2024,86.6
la nova esquerra de leixample,Barri,2024,76.3
sant antoni,Barri,2024,74.4
el poble sec,Barri,2024,60.8
la marina del prat vermell,Barri,2024,69.4
la marina de port,Barri,2024,71.1
la font de la guatlla,Barri,2024,67.3
hostafrancs,Barri,2024,64.8
la bordeta,Barri,2024,66.1
sants badal,Barri,2024,62.3
sants,Barri,2024,66.3
les corts,Barri,2024,77.2
la maternitat i sant ramon,Barri,2024,74.9
pedralbes,Barri,2024,115.4
vallvidrera el tibidabo i les planes,Barri,2024,84.0
sarria,Barri,2024,84.7
les tres torres,Barri,2024,113.6
sant gervasi la bonanova,Barri,2024,100.1
sant gervasi galvany,Barri,2024,102.2
el putxet i el farro,Barri,2024,80.1
vallcarca i els penitents,Barri,2024,70.8
el coll,Barri,2024,64.9
la salut,Barri,2024,72.3
la vila de gracia,Barri,2024,68.1
el camp den grassot i gracia nova,Barri,2024,70.5
el baix guinardo,Barri,2024,67.6
can baro,Barri,2024,61.0
el guinardo,Barri,2024,66.7
la font den fargues,Barri,2024,73.6
el carmel,Barri,2024,60.3
la teixonera,Barri,2024,61.0
sant genis dels agudells,Barri,2024,73.7
montbau,Barri,2024,68.3
la vall dhebron,Barri,2024,72.7
la clota,Barri,2024,83.1
horta,Barri,2024,65.3
vilapicina i la torre llobeta,Barri,2024,68.1
porta,Barri,2024,64.1
el turo de la peira,Barri,2024,61.0
can peguera,Barri,2024,54.0
la guineueta,Barri,2024,74.6
canyelles,Barri,2024,86.1
les roquetes,Barri,2024,55.1
verdun,Barri,2024,56.5
la prosperitat,Barri,2024,59.0
la trinitat nova,Barri,2024,53.4
torre baro,Barri,2024,81.2
ciutat meridiana,Barri,2024,59.3
vallbona,Barri,2024,81.3
la trinitat vella,Barri,2024,62.7
baro de viver,Barri,2024,66.6
el bon pastor,Barri,2024,74.9
sant andreu,Barri,2024,69.9
la sagrera,Barri,2024,70.2
el congres i els indians,Barri,2024,67.2
navas,Barri,2024,71.8
el camp de larpa del clot,Barri,2024,65.4
el clot,Barri,2024,68.6
el parc i la llacuna del poblenou,Barri,2024,71.1
la vila olimpica del poblenou,Barri,2024,85.7
el poblenou,Barri,2024,69.0
diagonal mar i el front maritim del poblenou,Barri,2024,79.9
el besos i el maresme,Barri,2024,63.6
provencals del poblenou,Barri,2024,70.9
sant marti de provencals,Barri,2024,72.0
la verneda i la pau,Barri,2024,68.5
el raval,Barri,2025,60.6
el barri gotic,Barri,2025,79.3
la barceloneta,Barri,2025,40.6
sant pere santa caterina i la ribera,Barri,2025,64.5
el fort pienc,Barri,2025,78.4
la sagrada familia,Barri,2025,68.5
la dreta de leixample,Barri,2025,99.7
lantiga esquerra de leixample,Barri,2025,87.5
la nova esquerra de leixample,Barri,2025,72.7
sant antoni,Barri,2025,73.6
el poble sec,Barri,2025,59.1
la marina del prat vermell,Barri,2025,82.8
la marina de port,Barri,2025,68.8
la font de la guatlla,Barri,2025,69.4
hostafrancs,Barri,2025,61.6
la bordeta,Barri,2025,66.1
sants badal,Barri,2025,61.6
sants,Barri,2025,64.6
les corts,Barri,2025,75.1
la maternitat i sant ramon,Barri,2025,73.8
pedralbes,Barri,2025,105.1
vallvidrera el tibidabo i les planes,Barri,2025,109.2
sarria,Barri,2025,84.6
les tres torres,Barri,2025,110.4
sant gervasi la bonanova,Barri,2025,93.2
sant gervasi galvany,Barri,2025,98.7
el putxet i el farro,Barri,2025,71.5
vallcarca i els penitents,Barri,2025,67.4
el coll,Barri,2025,63.9
la salut,Barri,2025,69.5
la vila de gracia,Barri,2025,64.1
el camp den grassot i gracia nova,Barri,2025,68.5
el baix guinardo,Barri,2025,67.2
can baro,Barri,2025,56.2
el guinardo,Barri,2025,65.3
la font den fargues,Barri,2025,70.7
el carmel,Barri,2025,59.0
la teixonera,Barri,2025,60.7
sant genis dels agudells,Barri,2025,70.0
montbau,Barri,2025,59.6
la vall dhebron,Barri,2025,65.1
la clota,Barri,2025,54.6
horta,Barri,2025,64.4
vilapicina i la torre llobeta,Barri,2025,64.2
porta,Barri,2025,64.0
el turo de la peira,Barri,2025,60.4
can peguera,Barri,2025,46.8
la guineueta,Barri,2025,73.6
canyelles,Barri,2025,80.7
les roquetes,Barri,2025,53.5
verdun,Barri,2025,55.5
la prosperitat,Barri,2025,58.4
la trinitat nova,Barri,2025,54.5
torre baro,Barri,2025,66.1
ciutat meridiana,Barri,2025,59.4
vallbona,Barri,2025,70.4
la trinitat vella,Barri,2025,58.7
baro de viver,Barri,2025,63.4
el bon pastor,Barri,2025,66.2
sant andreu,Barri,2025,64.0
la sagrera,Barri,2025,70.2
el congres i els indians,Barri,2025,66.0
navas,Barri,2025,69.8
el camp de larpa del clot,Barri,2025,64.6
el clot,Barri,2025,65.4
el parc i la llacuna del poblenou,Barri,2025,69.2
la vila olimpica del poblenou,Barri,2025,85.3
el poblenou,Barri,2025,66.7
diagonal mar i el front maritim del poblenou,Barri,2025,86.2
el besos i el maresme,Barri,2025,62.5
provencals del poblenou,Barri,2025,74.1
sant marti de provencals,Barri,2025,73.1
la verneda i la pau,Barri,2025,68.0
