territori,tipus_de_territori,any,preu_lloguer
ciutat meridiana,Barri,2022,97.0
vallbona,Barri,2022,80.0
la trinitat vella,Barri,2022,110.0
baro de viver,Barri,2022,61.0
el bon pastor,Barri,2022,115.0
sant andreu,Barri,2022,127.0
la sagrera,Barri,2022,129.0
el congres i els indians,Barri,2022,125.0
navas,Barri,2022,126.0
el camp de larpa del clot,Barri,2022,141.0
el clot,Barri,2022,136.0
el parc i la llacuna del poblenou,Barri,2022,159.0
la vila olimpica del poblenou,Barri,2022,191.0
el poblenou,Barri,2022,165.0
diagonal mar i el front maritim del poblenou,Barri,2022,172.0
el besos i el maresme,Barri,2022,121.0
provencals del poblenou,Barri,2022,145.0
sant marti de provencals,Barri,2022,121.0
la verneda i la pau,Barri,2022,114.0
el raval,Barri,2023,159.0
el barri gotic,Barri,2023,164.0
la barceloneta,Barri,2023,190.0
sant pere santa caterina i la ribera,Barri,2023,174.0
el fort pienc,Barri,2023,161.0
la sagrada familia,Barri,2023,167.0
la dreta de leixample,Barri,2023,166.0
lantiga esquerra de leixample,Barri,2023,168.0
la nova esquerra de leixample,Barri,2023,167.0
sant antoni,Barri,2023,159.0
el poble sec,Barri,2023,160.0
la marina del prat vermell,Barri,2023,134.0
la marina de port,Barri,2023,126.0
la font de la guatlla,Barri,2023,158.0
hostafrancs,Barri,2023,158.0
la bordeta,Barri,2023,211.0
sants badal,Barri,2023,157.0
sants,Barri,2023,158.0
les corts,Barri,2023,171.0
la maternitat i sant ramon,Barri,2023,158.0
pedralbes,Barri,2023,175.0
vallvidrera el tibidabo i les planes,Barri,2023,141.0
sarria,Barri,2023,195.0
les tres torres,Barri,2023,194.0
sant gervasi la bonanova,Barri,2023,178.0
sant gervasi galvany,Barri,2023,184.0
el putxet i el farro,Barri,2023,173.0
vallcarca i els penitents,Barri,2023,168.0
el coll,Barri,2023,144.0
la salut,Barri,2023,153.0
la vila de gracia,Barri,2023,175.0
el camp den grassot i gracia nova,Barri,2023,167.0
el baix guinardo,Barri,2023,155.0
can baro,Barri,2023,150.0
el guinardo,Barri,2023,149.0
la font den fargues,Barri,2023,155.0
el carmel,Barri,2023,135.0
la teixonera,Barri,2023,146.0
sant genis dels agudells,Barri,2023,120.0
montbau,Barri,2023,138.0
la vall dhebron,Barri,2023,150.0
la clota,Barri,2023,155.0
horta,Barri,2023,139.0
vilapicina i la torre llobeta,Barri,2023,137.0
porta,Barri,2023,135.0
el turo de la peira,Barri,2023,126.0
can peguera,Barri,2023,
la guineueta,Barri,2023,122.0
canyelles,Barri,2023,108.0
les roquetes,Barri,2023,136.0
verdun,Barri,2023,145.0
la prosperitat,Barri,2023,139.0
la trinitat nova,Barri,2023,135.0
torre baro,Barri,2023,77.0
ciutat meridiana,Barri,2023,104.0
vallbona,Barri,2023,
la trinitat vella,Barri,2023,125.0
baro de viver,Barri,2023,92.0
el bon pastor,Barri,2023,109.0
sant andreu,Barri,2023,140.0
la sagrera,Barri,2023,145.0
el congres i els indians,Barri,2023,140.0
navas,Barri,2023,145.0
el camp de larpa del clot,Barri,2023,158.0
el clot,Barri,2023,154.0
el parc i la llacuna del poblenou,Barri,2023,173.0
la vila olimpica del poblenou,Barri,2023,204.0
el poblenou,Barri,2023,178.0
diagonal mar i el front maritim del poblenou,Barri,2023,188.0
el besos i el maresme,Barri,2023,125.0
provencals del poblenou,Barri,2023,163.0
sant marti de provencals,Barri,2023,135.0
la verneda i la pau,Barri,2023,163.0
el raval,Barri,2024,159.0
el barri gotic,Barri,2024,162.0
la barceloneta,Barri,2024,200.0
sant pere santa caterina i la ribera,Barri,2024,171.0
el fort pienc,Barri,2024,159.0
la sagrada familia,Barri,2024,168.0
la dreta de leixample,Barri,2024,168.0
lantiga esquerra de leixample,Barri,2024,170.0
la nova esquerra de leixample,Barri,2024,167.0
sant antoni,Barri,2024,161.0
el poble sec,Barri,2024,164.0
la marina del prat vermell,Barri,2024,87.0
la marina de port,Barri,2024,120.0
la font de la guatlla,Barri,2024,156.0
hostafrancs,Barri,2024,156.0
la bordeta,Barri,2024,187.0
sants badal,Barri,2024,160.0
sants,Barri,2024,160.0
les corts,Barri,2024,174.0
la maternitat i sant ramon,Barri,2024,164.0
pedralbes,Barri,2024,193.0
vallvidrera el tibidabo i les planes,Barri,2024,163.0
sarria,Barri,2024,193.0
les tres torres,Barri,2024,197.0
sant gervasi la bonanova,Barri,2024,181.0
sant gervasi galvany,Barri,2024,188.0
el putxet i el farro,Barri,2024,171.0
vallcarca i els penitents,Barri,2024,178.0
el coll,Barri,2024,147.0
la salut,Barri,2024,164.0
la vila de gracia,Barri,2024,179.0
el camp den grassot i gracia nova,Barri,2024,175.0
el baix guinardo,Barri,2024,157.0
can baro,Barri,2024,157.0
el guinardo,Barri,2024,150.0
la font den fargues,Barri,2024,156.0
el carmel,Barri,2024,136.0
la teixonera,Barri,2024,146.0
sant genis dels agudells,Barri,2024,111.0
montbau,Barri,2024,136.0
la vall dhebron,Barri,2024,150.0
la clota,Barri,2024,115.0
horta,Barri,2024,142.0
vilapicina i la torre llobeta,Barri,2024,139.0
porta,Barri,2024,134.0
el turo de la peira,Barri,2024,131.0
can peguera,Barri,2024,125.0
la guineueta,Barri,2024,119.0
canyelles,Barri,2024,103.0
les roquetes,Barri,2024,135.0
verdun,Barri,2024,131.0
la prosperitat,Barri,2024,139.0
la trinitat nova,Barri,2024,142.0
torre baro,Barri,2024,57.0
ciutat meridiana,Barri,2024,107.0
vallbona,Barri,2024,
la trinitat vella,Barri,2024,111.0
baro de viver,Barri,2024,78.0
el bon pastor,Barri,2024,105.0
sant andreu,Barri,2024,139.0
la sagrera,Barri,2024,144.0
el congres i els indians,Barri,2024,146.0
navas,Barri,2024,143.0
el camp de larpa del clot,Barri,2024,156.0
el clot,Barri,2024,156.0
el parc i la llacuna del poblenou,Barri,2024,169.0
la vila olimpica del poblenou,Barri,2024,219.0
el poblenou,Barri,2024,181.0
diagonal mar i el front maritim del poblenou,Barri,2024,196.0
el besos i el maresme,Barri,2024,134.0
provencals del poblenou,Barri,2024,161.0
sant marti de provencals,Barri,2024,141.0
la verneda i la pau,Barri,2024,145.0
el raval,Barri,2025,166.0
el barri gotic,Barri,2025,165.0
la barceloneta,Barri,2025,227.0
sant pere santa caterina i la ribera,Barri,2025,186.0
el fort pienc,Barri,2025,155.0
la sagrada familia,Barri,2025,169.0
la dreta de leixample,Barri,2025,174.0
lantiga esquerra de leixample,Barri,2025,168.0
la nova esquerra de leixample,Barri,2025,173.0
sant antoni,Barri,2025,163.0
el poble sec,Barri,2025,167.0
la marina del prat vermell,Barri,2025,174.0
la marina de port,Barri,2025,131.0
la font de la guatlla,Barri,2025,159.0
hostafrancs,Barri,2025,165.0
la bordeta,Barri,2025,182.0
sants badal,Barri,2025,159.0
sants,Barri,2025,164.0
les corts,Barri,2025,180.0
la maternitat i sant ramon,Barri,2025,165.0
pedralbes,Barri,2025,187.0
vallvidrera el tibidabo i les planes,Barri,2025,145.0
sarria,Barri,2025,205.0
les tres torres,Barri,2025,197.0
sant gervasi la bonanova,Barri,2025,192.0
sant gervasi galvany,Barri,2025,188.0
el putxet i el farro,Barri,2025,183.0
vallcarca i els penitents,Barri,2025,174.0
el coll,Barri,2025,152.0
la salut,Barri,2025,165.0
la vila de gracia,Barri,2025,185.0
el camp den grassot i gracia nova,Barri,2025,171.0
el baix guinardo,Barri,2025,159.0
can baro,Barri,2025,160.0
el guinardo,Barri,2025,154.0
la font den fargues,Barri,2025,146.0
el carmel,Barri,2025,140.0
la teixonera,Barri,2025,150.0
sant genis dels agudells,Barri,2025,122.0
montbau,Barri,2025,155.0
la vall dhebron,Barri,2025,153.0
la clota,Barri,2025,201.0
horta,Barri,2025,143.0
vilapicina i la torre llobeta,Barri,2025,146.0
porta,Barri,2025,133.0
el turo de la peira,Barri,2025,130.0
can peguera,Barri,2025,84.0
la guineueta,Barri,2025,125.0
canyelles,Barri,2025,100.0
les roquetes,Barri,2025,136.0
verdun,Barri,2025,142.0
la prosperitat,Barri,2025,144.0
la trinitat nova,Barri,2025,125.0
torre baro,Barri,2025,104.0
ciutat meridiana,Barri,2025,102.0
vallbona,Barri,2025,104.0
la trinitat vella,Barri,2025,129.0
baro de viver,Barri,2025,84.0
el bon pastor,Barri,2025,114.0
sant andreu,Barri,2025,146.0
la sagrera,Barri,2025,141.0
el congres i els indians,Barri,2025,142.0
navas,Barri,2025,147.0
el camp de larpa del clot,Barri,2025,160.0
el clot,Barri,2025,156.0
el parc i la llacuna del poblenou,Barri,2025,182.0
la vila olimpica del poblenou,Barri,2025,208.0
el poblenou,Barri,2025,183.0
diagonal mar i el front maritim del poblenou,Barri,2025,224.0
el besos i el maresme,Barri,2025,132.0
provencals del poblenou,Barri,2025,168.0
sant marti de provencals,Barri,2025,136.0
la verneda i la pau,Barri,2025,142.0
