territori,tipus_de_territori,any,preu_lloguer
la maternitat i sant ramon,Barri,2009,
pedralbes,Barri,2009,
vallvidrera el tibidabo i les planes,Barri,2009,
sarria,Barri,2009,
les tres torres,Barri,2009,
sant gervasi la bonanova,Barri,2009,
sant gervasi galvany,Barri,2009,
el putxet i el farro,Barri,2009,
vallcarca i els penitents,Barri,2009,
el coll,Barri,2009,
la salut,Barri,2009,
la vila de gracia,Barri,2009,
el camp den grassot i gracia nova,Barri,2009,
el baix guinardo,Barri,2009,
can baro,Barri,2009,
el guinardo,Barri,2009,
la font den fargues,Barri,2009,
el carmel,Barri,2009,
la teixonera,Barri,2009,
sant genis dels agudells,Barri,2009,
montbau,Barri,2009,
la vall dhebron,Barri,2009,
la clota,Barri,2009,
horta,Barri,2009,
vilapicina i la torre llobeta,Barri,2009,
porta,Barri,2009,
el turo de la peira,Barri,2009,
can peguera,Barri,2009,
la guineueta,Barri,2009,
canyelles,Barri,2009,
les roquetes,Barri,2009,
verdun,Barri,2009,
la prosperitat,Barri,2009,
la trinitat nova,Barri,2009,
torre baro,Barri,2009,
ciutat meridiana,Barri,2009,
vallbona,Barri,2009,
la trinitat vella,Barri,2009,
baro de viver,Barri,2009,
el bon pastor,Barri,2009,
sant andreu,Barri,2009,
la sagrera,Barri,2009,
el congres i els indians,Barri,2009,
navas,Barri,2009,
el camp de larpa del clot,Barri,2009,
el clot,Barri,2009,
el parc i la llacuna del poblenou,Barri,2009,
la vila olimpica del poblenou,Barri,2009,
el poblenou,Barri,2009,
diagonal mar i el front maritim del poblenou,Barri,2009,
el besos i el maresme,Barri,2009,
provencals del poblenou,Barri,2009,
sant marti de provencals,Barri,2009,
la verneda i la pau,Barri,2009,
el raval,Barri,2010,
el barri gotic,Barri,2010,
la barceloneta,Barri,2010,
sant pere santa caterina i la ribera,Barri,2010,
el fort pienc,Barri,2010,
la sagrada familia,Barri,2010,
la dreta de leixample,Barri,2010,
lantiga esquerra de leixample,Barri,2010,
la nova esquerra de leixample,Barri,2010,
sant antoni,Barri,2010,
el poble sec,Barri,2010,
la marina del prat vermell,Barri,2010,
la marina de port,Barri,2010,
la font de la guatlla,Barri,2010,
hostafrancs,Barri,2010,
la bordeta,Barri,2010,
sants badal,Barri,2010,
sants,Barri,2010,
les corts,Barri,2010,
la maternitat i sant ramon,Barri,2010,
pedralbes,Barri,2010,
vallvidrera el tibidabo i les planes,Barri,2010,
sarria,Barri,2010,
les tres torres,Barri,2010,
sant gervasi la bonanova,Barri,2010,
sant gervasi galvany,Barri,2010,
el putxet i el farro,Barri,2010,
vallcarca i els penitents,Barri,2010,
el coll,Barri,2010,
la salut,Barri,2010,
la vila de gracia,Barri,2010,
el camp den grassot i gracia nova,Barri,2010,
el baix guinardo,Barri,2010,
can baro,Barri,2010,
el guinardo,Barri,2010,
la font den fargues,Barri,2010,
el carmel,Barri,2010,
la teixonera,Barri,2010,
sant genis dels agudells,Barri,2010,
montbau,Barri,2010,
la vall dhebron,Barri,2010,
la clota,Barri,2010,
horta,Barri,2010,
