territori,tipus_de_territori,nacionalitat_espanya_ue_resta_estranger,any,poblacio
la nova esquerra de leixample,Barri,Espanya,2004,50990.0
la nova esquerra de leixample,Barri,Resta de la Unió Europea,2004,1265.0
la nova esquerra de leixample,Barri,Resta del món,2004,5981.0
la nova esquerra de leixample,Barri,No consta,2004,8.0
sant antoni,Barri,Espanya,2004,32979.0
sant antoni,Barri,Resta de la Unió Europea,2004,836.0
sant antoni,Barri,Resta del món,2004,4130.0
sant antoni,Barri,No consta,2004,12.0
el poble sec,Barri,Espanya,2004,30419.0
el poble sec,Barri,Resta de la Unió Europea,2004,713.0
el poble sec,Barri,Resta del món,2004,7656.0
el poble sec,Barri,No consta,2004,5.0
la marina del prat vermell,Barri,Espanya,2004,1397.0
la marina del prat vermell,Barri,Resta de la Unió Europea,2004,6.0
la marina del prat vermell,Barri,Resta del món,2004,53.0
la marina del prat vermell,Barri,No consta,2004,
la marina de port,Barri,Espanya,2004,26266.0
la marina de port,Barri,Resta de la Unió Europea,2004,219.0
la marina de port,Barri,Resta del món,2004,2322.0
la marina de port,Barri,No consta,2004,6.0
la font de la guatlla,Barri,Espanya,2004,8739.0
la font de la guatlla,Barri,Resta de la Unió Europea,2004,160.0
la font de la guatlla,Barri,Resta del món,2004,1027.0
la font de la guatlla,Barri,No consta,2004,
hostafrancs,Barri,Espanya,2004,13111.0
hostafrancs,Barri,Resta de la Unió Europea,2004,248.0
hostafrancs,Barri,Resta del món,2004,2087.0
hostafrancs,Barri,No consta,2004,
la bordeta,Barri,Espanya,2004,16857.0
la bordeta,Barri,Resta de la Unió Europea,2004,169.0
la bordeta,Barri,Resta del món,2004,1731.0
la bordeta,Barri,No consta,2004,
sants badal,Barri,Espanya,2004,21258.0
sants badal,Barri,Resta de la Unió Europea,2004,242.0
sants badal,Barri,Resta del món,2004,2798.0
sants badal,Barri,No consta,2004,15.0
sants,Barri,Espanya,2004,34709.0
sants,Barri,Resta de la Unió Europea,2004,499.0
sants,Barri,Resta del món,2004,4309.0
sants,Barri,No consta,2004,13.0
les corts,Barri,Espanya,2004,42853.0
les corts,Barri,Resta de la Unió Europea,2004,857.0
les corts,Barri,Resta del món,2004,2761.0
les corts,Barri,No consta,2004,12.0
la maternitat i sant ramon,Barri,Espanya,2004,22740.0
la maternitat i sant ramon,Barri,Resta de la Unió Europea,2004,405.0
la maternitat i sant ramon,Barri,Resta del món,2004,1648.0
la maternitat i sant ramon,Barri,No consta,2004,
pedralbes,Barri,Espanya,2004,10189.0
pedralbes,Barri,Resta de la Unió Europea,2004,660.0
pedralbes,Barri,Resta del món,2004,856.0
pedralbes,Barri,No consta,2004,11.0
vallvidrera el tibidabo i les planes,Barri,Espanya,2004,3314.0
vallvidrera el tibidabo i les planes,Barri,Resta de la Unió Europea,2004,177.0
vallvidrera el tibidabo i les planes,Barri,Resta del món,2004,180.0
vallvidrera el tibidabo i les planes,Barri,No consta,2004,
sarria,Barri,Espanya,2004,20695.0
sarria,Barri,Resta de la Unió Europea,2004,920.0
sarria,Barri,Resta del món,2004,1439.0
sarria,Barri,No consta,2004,8.0
les tres torres,Barri,Espanya,2004,13941.0
les tres torres,Barri,Resta de la Unió Europea,2004,526.0
les tres torres,Barri,Resta del món,2004,734.0
les tres torres,Barri,No consta,2004,
sant gervasi la bonanova,Barri,Espanya,2004,21760.0
sant gervasi la bonanova,Barri,Resta de la Unió Europea,2004,613.0
sant gervasi la bonanova,Barri,Resta del món,2004,1164.0
sant gervasi la bonanova,Barri,No consta,2004,
sant gervasi galvany,Barri,Espanya,2004,41514.0
sant gervasi galvany,Barri,Resta de la Unió Europea,2004,1396.0
sant gervasi galvany,Barri,Resta del món,2004,2894.0
sant gervasi galvany,Barri,No consta,2004,15.0
el putxet i el farro,Barri,Espanya,2004,25607.0
el putxet i el farro,Barri,Resta de la Unió Europea,2004,860.0
el putxet i el farro,Barri,Resta del món,2004,1986.0
el putxet i el farro,Barri,No consta,2004,
vallcarca i els penitents,Barri,Espanya,2004,13652.0
vallcarca i els penitents,Barri,Resta de la Unió Europea,2004,399.0
vallcarca i els penitents,Barri,Resta del món,2004,1324.0
vallcarca i els penitents,Barri,No consta,2004,6.0
el coll,Barri,Espanya,2004,6443.0
el coll,Barri,Resta de la Unió Europea,2004,136.0
el coll,Barri,Resta del món,2004,562.0
el coll,Barri,No consta,2004,
la salut,Barri,Espanya,2004,12035.0
la salut,Barri,Resta de la Unió Europea,2004,288.0
la salut,Barri,Resta del món,2004,856.0
la salut,Barri,No consta,2004,
la vila de gracia,Barri,Espanya,2004,43076.0
la vila de gracia,Barri,Resta de la Unió Europea,2004,1630.0
la vila de gracia,Barri,Resta del món,2004,4515.0
la vila de gracia,Barri,No consta,2004,35.0
el camp den grassot i gracia nova,Barri,Espanya,2004,31629.0
el camp den grassot i gracia nova,Barri,Resta de la Unió Europea,2004,657.0
el camp den grassot i gracia nova,Barri,Resta del món,2004,2588.0
el camp den grassot i gracia nova,Barri,No consta,2004,
el baix guinardo,Barri,Espanya,2004,22929.0
el baix guinardo,Barri,Resta de la Unió Europea,2004,335.0
el baix guinardo,Barri,Resta del món,2004,2212.0
el baix guinardo,Barri,No consta,2004,
can baro,Barri,Espanya,2004,8271.0
can baro,Barri,Resta de la Unió Europea,2004,103.0
can baro,Barri,Resta del món,2004,588.0
can baro,Barri,No consta,2004,
el guinardo,Barri,Espanya,2004,31933.0
el guinardo,Barri,Resta de la Unió Europea,2004,433.0
el guinardo,Barri,Resta del món,2004,2836.0
el guinardo,Barri,No consta,2004,
la font den fargues,Barri,Espanya,2004,9388.0
la font den fargues,Barri,Resta de la Unió Europea,2004,76.0
la font den fargues,Barri,Resta del món,2004,251.0
la font den fargues,Barri,No consta,2004,
el carmel,Barri,Espanya,2004,30062.0
el carmel,Barri,Resta de la Unió Europea,2004,175.0
el carmel,Barri,Resta del món,2004,2664.0
el carmel,Barri,No consta,2004,7.0
la teixonera,Barri,Espanya,2004,10686.0
la teixonera,Barri,Resta de la Unió Europea,2004,85.0
la teixonera,Barri,Resta del món,2004,1255.0
la teixonera,Barri,No consta,2004,
sant genis dels agudells,Barri,Espanya,2004,6520.0
sant genis dels agudells,Barri,Resta de la Unió Europea,2004,81.0
sant genis dels agudells,Barri,Resta del món,2004,535.0
sant genis dels agudells,Barri,No consta,2004,
montbau,Barri,Espanya,2004,4812.0
montbau,Barri,Resta de la Unió Europea,2004,25.0
montbau,Barri,Resta del món,2004,472.0
montbau,Barri,No consta,2004,
la vall dhebron,Barri,Espanya,2004,5143.0
la vall dhebron,Barri,Resta de la Unió Europea,2004,54.0
la vall dhebron,Barri,Resta del món,2004,513.0
la vall dhebron,Barri,No consta,2004,
la clota,Barri,Espanya,2004,414.0
la clota,Barri,Resta de la Unió Europea,2004,
la clota,Barri,Resta del món,2004,47.0
horta,Barri,Espanya,2004,25201.0
horta,Barri,Resta de la Unió Europea,2004,211.0
horta,Barri,Resta del món,2004,1271.0
horta,Barri,No consta,2004,
vilapicina i la torre llobeta,Barri,Espanya,2004,23408.0
vilapicina i la torre llobeta,Barri,Resta de la Unió Europea,2004,173.0
vilapicina i la torre llobeta,Barri,Resta del món,2004,2175.0
vilapicina i la torre llobeta,Barri,No consta,2004,
porta,Barri,Espanya,2004,21642.0
porta,Barri,Resta de la Unió Europea,2004,127.0
porta,Barri,Resta del món,2004,1779.0
porta,Barri,No consta,2004,7.0
el turo de la peira,Barri,Espanya,2004,12738.0
el turo de la peira,Barri,Resta de la Unió Europea,2004,89.0
el turo de la peira,Barri,Resta del món,2004,2196.0
el turo de la peira,Barri,No consta,2004,
can peguera,Barri,Espanya,2004,2056.0
can peguera,Barri,Resta de la Unió Europea,2004,
can peguera,Barri,Resta del món,2004,49.0
la guineueta,Barri,Espanya,2004,15214.0
la guineueta,Barri,Resta de la Unió Europea,2004,74.0
la guineueta,Barri,Resta del món,2004,789.0
la guineueta,Barri,No consta,2004,
canyelles,Barri,Espanya,2004,7651.0
canyelles,Barri,Resta de la Unió Europea,2004,25.0
canyelles,Barri,Resta del món,2004,198.0
canyelles,Barri,No consta,2004,
les roquetes,Barri,Espanya,2004,13867.0
les roquetes,Barri,Resta de la Unió Europea,2004,62.0
les roquetes,Barri,Resta del món,2004,1880.0
les roquetes,Barri,No consta,2004,
verdun,Barri,Espanya,2004,10979.0
verdun,Barri,Resta de la Unió Europea,2004,52.0
verdun,Barri,Resta del món,2004,1288.0
verdun,Barri,No consta,2004,
la prosperitat,Barri,Espanya,2004,24525.0
la prosperitat,Barri,Resta de la Unió Europea,2004,84.0
la prosperitat,Barri,Resta del món,2004,2286.0
la prosperitat,Barri,No consta,2004,7.0
la trinitat nova,Barri,Espanya,2004,7033.0
la trinitat nova,Barri,Resta de la Unió Europea,2004,30.0
la trinitat nova,Barri,Resta del món,2004,840.0
la trinitat nova,Barri,No consta,2004,
torre baro,Barri,Espanya,2004,2051.0
torre baro,Barri,Resta de la Unió Europea,2004,10.0
torre baro,Barri,Resta del món,2004,150.0
torre baro,Barri,No consta,2004,
ciutat meridiana,Barri,Espanya,2004,8364.0
ciutat meridiana,Barri,Resta de la Unió Europea,2004,43.0
ciutat meridiana,Barri,Resta del món,2004,1708.0
ciutat meridiana,Barri,No consta,2004,
vallbona,Barri,Espanya,2004,876.0
vallbona,Barri,Resta de la Unió Europea,2004,10.0
vallbona,Barri,Resta del món,2004,47.0
vallbona,Barri,No consta,2004,
la trinitat vella,Barri,Espanya,2004,7257.0
la trinitat vella,Barri,Resta de la Unió Europea,2004,35.0
la trinitat vella,Barri,Resta del món,2004,1723.0
la trinitat vella,Barri,No consta,2004,
baro de viver,Barri,Espanya,2004,2301.0
baro de viver,Barri,Resta de la Unió Europea,2004,
baro de viver,Barri,Resta del món,2004,60.0
baro de viver,Barri,No consta,2004,
el bon pastor,Barri,Espanya,2004,10496.0
el bon pastor,Barri,Resta de la Unió Europea,2004,38.0
el bon pastor,Barri,Resta del món,2004,855.0
el bon pastor,Barri,No consta,2004,
sant andreu,Barri,Espanya,2004,51644.0
sant andreu,Barri,Resta de la Unió Europea,2004,368.0
sant andreu,Barri,Resta del món,2004,2900.0
sant andreu,Barri,No consta,2004,5.0
la sagrera,Barri,Espanya,2004,26192.0
la sagrera,Barri,Resta de la Unió Europea,2004,173.0
la sagrera,Barri,Resta del món,2004,2429.0
la sagrera,Barri,No consta,2004,
el congres i els indians,Barri,Espanya,2004,12645.0
el congres i els indians,Barri,Resta de la Unió Europea,2004,96.0
el congres i els indians,Barri,Resta del món,2004,962.0
el congres i els indians,Barri,No consta,2004,
navas,Barri,Espanya,2004,19633.0
navas,Barri,Resta de la Unió Europea,2004,183.0
navas,Barri,Resta del món,2004,1956.0
navas,Barri,No consta,2004,13.0
el camp de larpa del clot,Barri,Espanya,2004,33823.0
el camp de larpa del clot,Barri,Resta de la Unió Europea,2004,468.0
el camp de larpa del clot,Barri,Resta del món,2004,3976.0
el camp de larpa del clot,Barri,No consta,2004,5.0
el clot,Barri,Espanya,2004,23956.0
el clot,Barri,Resta de la Unió Europea,2004,313.0
el clot,Barri,Resta del món,2004,2329.0
el clot,Barri,No consta,2004,
el parc i la llacuna del poblenou,Barri,Espanya,2004,11239.0
el parc i la llacuna del poblenou,Barri,Resta de la Unió Europea,2004,270.0
el parc i la llacuna del poblenou,Barri,Resta del món,2004,1695.0
el parc i la llacuna del poblenou,Barri,No consta,2004,15.0
la vila olimpica del poblenou,Barri,Espanya,2004,6959.0
la vila olimpica del poblenou,Barri,Resta de la Unió Europea,2004,451.0
la vila olimpica del poblenou,Barri,Resta del món,2004,589.0
la vila olimpica del poblenou,Barri,No consta,2004,23.0
el poblenou,Barri,Espanya,2004,25076.0
el poblenou,Barri,Resta de la Unió Europea,2004,476.0
el poblenou,Barri,Resta del món,2004,2538.0
el poblenou,Barri,No consta,2004,
diagonal mar i el front maritim del poblenou,Barri,Espanya,2004,7476.0
diagonal mar i el front maritim del poblenou,Barri,Resta de la Unió Europea,2004,194.0
diagonal mar i el front maritim del poblenou,Barri,Resta del món,2004,459.0
diagonal mar i el front maritim del poblenou,Barri,No consta,2004,
el besos i el maresme,Barri,Espanya,2004,19183.0
el besos i el maresme,Barri,Resta de la Unió Europea,2004,88.0
el besos i el maresme,Barri,Resta del món,2004,2531.0
el besos i el maresme,Barri,No consta,2004,
provencals del poblenou,Barri,Espanya,2004,16316.0
provencals del poblenou,Barri,Resta de la Unió Europea,2004,126.0
provencals del poblenou,Barri,Resta del món,2004,1253.0
provencals del poblenou,Barri,No consta,2004,5.0
sant marti de provencals,Barri,Espanya,2004,25218.0
sant marti de provencals,Barri,Resta de la Unió Europea,2004,171.0
sant marti de provencals,Barri,Resta del món,2004,1374.0
sant marti de provencals,Barri,No consta,2004,6.0
la verneda i la pau,Barri,Espanya,2004,28379.0
la verneda i la pau,Barri,Resta de la Unió Europea,2004,122.0
la verneda i la pau,Barri,Resta del món,2004,1736.0
la verneda i la pau,Barri,No consta,2004,
el raval,Barri,Espanya,2005,26079.0
el raval,Barri,Resta de la Unió Europea,2005,1849.0
el raval,Barri,Resta del món,2005,19378.0
el raval,Barri,No consta,2005,23.0
el barri gotic,Barri,Espanya,2005,12085.0
el barri gotic,Barri,Resta de la Unió Europea,2005,1949.0
el barri gotic,Barri,Resta del món,2005,13067.0
el barri gotic,Barri,No consta,2005,28.0
la barceloneta,Barri,Espanya,2005,12248.0
la barceloneta,Barri,Resta de la Unió Europea,2005,644.0
la barceloneta,Barri,Resta del món,2005,2888.0
la barceloneta,Barri,No consta,2005,16.0
sant pere santa caterina i la ribera,Barri,Espanya,2005,15344.0
sant pere santa caterina i la ribera,Barri,Resta de la Unió Europea,2005,1629.0
sant pere santa caterina i la ribera,Barri,Resta del món,2005,5858.0
sant pere santa caterina i la ribera,Barri,No consta,2005,12.0
el fort pienc,Barri,Espanya,2005,26309.0
el fort pienc,Barri,Resta de la Unió Europea,2005,972.0
el fort pienc,Barri,Resta del món,2005,3636.0
el fort pienc,Barri,No consta,2005,12.0
la sagrada familia,Barri,Espanya,2005,44728.0
la sagrada familia,Barri,Resta de la Unió Europea,2005,1146.0
la sagrada familia,Barri,Resta del món,2005,6251.0
la sagrada familia,Barri,No consta,2005,21.0
la dreta de leixample,Barri,Espanya,2005,36137.0
la dreta de leixample,Barri,Resta de la Unió Europea,2005,1994.0
la dreta de leixample,Barri,Resta del món,2005,4275.0
la dreta de leixample,Barri,No consta,2005,33.0
lantiga esquerra de leixample,Barri,Espanya,2005,34909.0
lantiga esquerra de leixample,Barri,Resta de la Unió Europea,2005,1626.0
lantiga esquerra de leixample,Barri,Resta del món,2005,4904.0
lantiga esquerra de leixample,Barri,No consta,2005,29.0
la nova esquerra de leixample,Barri,Espanya,2005,50197.0
la nova esquerra de leixample,Barri,Resta de la Unió Europea,2005,1595.0
la nova esquerra de leixample,Barri,Resta del món,2005,6820.0
la nova esquerra de leixample,Barri,No consta,2005,15.0
sant antoni,Barri,Espanya,2005,32455.0
sant antoni,Barri,Resta de la Unió Europea,2005,1080.0
sant antoni,Barri,Resta del món,2005,4540.0
sant antoni,Barri,No consta,2005,7.0
el poble sec,Barri,Espanya,2005,29828.0
el poble sec,Barri,Resta de la Unió Europea,2005,1027.0
el poble sec,Barri,Resta del món,2005,8533.0
el poble sec,Barri,No consta,2005,6.0
la marina del prat vermell,Barri,Espanya,2005,1244.0
la marina del prat vermell,Barri,Resta de la Unió Europea,2005,5.0
la marina del prat vermell,Barri,Resta del món,2005,58.0
la marina del prat vermell,Barri,No consta,2005,
la marina de port,Barri,Espanya,2005,26121.0
la marina de port,Barri,Resta de la Unió Europea,2005,262.0
la marina de port,Barri,Resta del món,2005,2837.0
la marina de port,Barri,No consta,2005,
la font de la guatlla,Barri,Espanya,2005,8606.0
la font de la guatlla,Barri,Resta de la Unió Europea,2005,198.0
la font de la guatlla,Barri,Resta del món,2005,1309.0
la font de la guatlla,Barri,No consta,2005,
hostafrancs,Barri,Espanya,2005,12837.0
hostafrancs,Barri,Resta de la Unió Europea,2005,325.0
hostafrancs,Barri,Resta del món,2005,2309.0
hostafrancs,Barri,No consta,2005,
la bordeta,Barri,Espanya,2005,16592.0
la bordeta,Barri,Resta de la Unió Europea,2005,210.0
la bordeta,Barri,Resta del món,2005,1864.0
la bordeta,Barri,No consta,2005,
sants badal,Barri,Espanya,2005,20892.0
sants badal,Barri,Resta de la Unió Europea,2005,305.0
sants badal,Barri,Resta del món,2005,3049.0
sants badal,Barri,No consta,2005,18.0
sants,Barri,Espanya,2005,34242.0
sants,Barri,Resta de la Unió Europea,2005,622.0
sants,Barri,Resta del món,2005,4929.0
sants,Barri,No consta,2005,12.0
les corts,Barri,Espanya,2005,42195.0
les corts,Barri,Resta de la Unió Europea,2005,998.0
les corts,Barri,Resta del món,2005,3208.0
les corts,Barri,No consta,2005,13.0
la maternitat i sant ramon,Barri,Espanya,2005,22249.0
la maternitat i sant ramon,Barri,Resta de la Unió Europea,2005,446.0
la maternitat i sant ramon,Barri,Resta del món,2005,1870.0
la maternitat i sant ramon,Barri,No consta,2005,
pedralbes,Barri,Espanya,2005,10075.0
pedralbes,Barri,Resta de la Unió Europea,2005,759.0
pedralbes,Barri,Resta del món,2005,921.0
pedralbes,Barri,No consta,2005,11.0
vallvidrera el tibidabo i les planes,Barri,Espanya,2005,3358.0
vallvidrera el tibidabo i les planes,Barri,Resta de la Unió Europea,2005,191.0
vallvidrera el tibidabo i les planes,Barri,Resta del món,2005,190.0
vallvidrera el tibidabo i les planes,Barri,No consta,2005,
sarria,Barri,Espanya,2005,20715.0
sarria,Barri,Resta de la Unió Europea,2005,1024.0
sarria,Barri,Resta del món,2005,1633.0
sarria,Barri,No consta,2005,7.0
les tres torres,Barri,Espanya,2005,13911.0
les tres torres,Barri,Resta de la Unió Europea,2005,570.0
les tres torres,Barri,Resta del món,2005,860.0
les tres torres,Barri,No consta,2005,
sant gervasi la bonanova,Barri,Espanya,2005,21704.0
sant gervasi la bonanova,Barri,Resta de la Unió Europea,2005,687.0
sant gervasi la bonanova,Barri,Resta del món,2005,1337.0
sant gervasi la bonanova,Barri,No consta,2005,
sant gervasi galvany,Barri,Espanya,2005,41241.0
sant gervasi galvany,Barri,Resta de la Unió Europea,2005,1629.0
sant gervasi galvany,Barri,Resta del món,2005,3261.0
sant gervasi galvany,Barri,No consta,2005,13.0
el putxet i el farro,Barri,Espanya,2005,25374.0
el putxet i el farro,Barri,Resta de la Unió Europea,2005,998.0
el putxet i el farro,Barri,Resta del món,2005,2264.0
el putxet i el farro,Barri,No consta,2005,6.0
vallcarca i els penitents,Barri,Espanya,2005,13485.0
vallcarca i els penitents,Barri,Resta de la Unió Europea,2005,470.0
vallcarca i els penitents,Barri,Resta del món,2005,1532.0
vallcarca i els penitents,Barri,No consta,2005,6.0
el coll,Barri,Espanya,2005,6353.0
el coll,Barri,Resta de la Unió Europea,2005,169.0
el coll,Barri,Resta del món,2005,615.0
el coll,Barri,No consta,2005,
la salut,Barri,Espanya,2005,11888.0
la salut,Barri,Resta de la Unió Europea,2005,347.0
la salut,Barri,Resta del món,2005,959.0
la salut,Barri,No consta,2005,5.0
la vila de gracia,Barri,Espanya,2005,42515.0
la vila de gracia,Barri,Resta de la Unió Europea,2005,2123.0
la vila de gracia,Barri,Resta del món,2005,5101.0
la vila de gracia,Barri,No consta,2005,44.0
el camp den grassot i gracia nova,Barri,Espanya,2005,31070.0
el camp den grassot i gracia nova,Barri,Resta de la Unió Europea,2005,792.0
el camp den grassot i gracia nova,Barri,Resta del món,2005,2879.0
el camp den grassot i gracia nova,Barri,No consta,2005,
el baix guinardo,Barri,Espanya,2005,22625.0
el baix guinardo,Barri,Resta de la Unió Europea,2005,468.0
el baix guinardo,Barri,Resta del món,2005,2384.0
el baix guinardo,Barri,No consta,2005,5.0
can baro,Barri,Espanya,2005,8113.0
can baro,Barri,Resta de la Unió Europea,2005,145.0
can baro,Barri,Resta del món,2005,718.0
can baro,Barri,No consta,2005,
el guinardo,Barri,Espanya,2005,31610.0
el guinardo,Barri,Resta de la Unió Europea,2005,546.0
el guinardo,Barri,Resta del món,2005,3183.0
el guinardo,Barri,No consta,2005,5.0
la font den fargues,Barri,Espanya,2005,9319.0
la font den fargues,Barri,Resta de la Unió Europea,2005,95.0
la font den fargues,Barri,Resta del món,2005,296.0
la font den fargues,Barri,No consta,2005,
el carmel,Barri,Espanya,2005,29346.0
el carmel,Barri,Resta de la Unió Europea,2005,238.0
el carmel,Barri,Resta del món,2005,3091.0
el carmel,Barri,No consta,2005,
la teixonera,Barri,Espanya,2005,10525.0
la teixonera,Barri,Resta de la Unió Europea,2005,121.0
la teixonera,Barri,Resta del món,2005,1436.0
la teixonera,Barri,No consta,2005,
sant genis dels agudells,Barri,Espanya,2005,6396.0
sant genis dels agudells,Barri,Resta de la Unió Europea,2005,94.0
sant genis dels agudells,Barri,Resta del món,2005,642.0
sant genis dels agudells,Barri,No consta,2005,
montbau,Barri,Espanya,2005,4751.0
montbau,Barri,Resta de la Unió Europea,2005,36.0
montbau,Barri,Resta del món,2005,497.0
montbau,Barri,No consta,2005,
la vall dhebron,Barri,Espanya,2005,5062.0
la vall dhebron,Barri,Resta de la Unió Europea,2005,74.0
la vall dhebron,Barri,Resta del món,2005,554.0
la vall dhebron,Barri,No consta,2005,
la clota,Barri,Espanya,2005,421.0
la clota,Barri,Resta de la Unió Europea,2005,
la clota,Barri,Resta del món,2005,52.0
horta,Barri,Espanya,2005,24819.0
horta,Barri,Resta de la Unió Europea,2005,241.0
horta,Barri,Resta del món,2005,1580.0
horta,Barri,No consta,2005,
vilapicina i la torre llobeta,Barri,Espanya,2005,23078.0
vilapicina i la torre llobeta,Barri,Resta de la Unió Europea,2005,217.0
vilapicina i la torre llobeta,Barri,Resta del món,2005,2418.0
vilapicina i la torre llobeta,Barri,No consta,2005,
porta,Barri,Espanya,2005,21192.0
porta,Barri,Resta de la Unió Europea,2005,173.0
porta,Barri,Resta del món,2005,1936.0
porta,Barri,No consta,2005,7.0
el turo de la peira,Barri,Espanya,2005,12474.0
el turo de la peira,Barri,Resta de la Unió Europea,2005,105.0
el turo de la peira,Barri,Resta del món,2005,2631.0
el turo de la peira,Barri,No consta,2005,
can peguera,Barri,Espanya,2005,2057.0
can peguera,Barri,Resta de la Unió Europea,2005,
can peguera,Barri,Resta del món,2005,62.0
la guineueta,Barri,Espanya,2005,14913.0
la guineueta,Barri,Resta de la Unió Europea,2005,99.0
la guineueta,Barri,Resta del món,2005,850.0
la guineueta,Barri,No consta,2005,
canyelles,Barri,Espanya,2005,7450.0
canyelles,Barri,Resta de la Unió Europea,2005,28.0
canyelles,Barri,Resta del món,2005,244.0
canyelles,Barri,No consta,2005,
les roquetes,Barri,Espanya,2005,13453.0
les roquetes,Barri,Resta de la Unió Europea,2005,83.0
les roquetes,Barri,Resta del món,2005,2173.0
les roquetes,Barri,No consta,2005,
verdun,Barri,Espanya,2005,10719.0
verdun,Barri,Resta de la Unió Europea,2005,60.0
verdun,Barri,Resta del món,2005,1409.0
verdun,Barri,No consta,2005,
la prosperitat,Barri,Espanya,2005,23941.0
la prosperitat,Barri,Resta de la Unió Europea,2005,131.0
la prosperitat,Barri,Resta del món,2005,2650.0
la prosperitat,Barri,No consta,2005,5.0
la trinitat nova,Barri,Espanya,2005,6895.0
la trinitat nova,Barri,Resta de la Unió Europea,2005,35.0
la trinitat nova,Barri,Resta del món,2005,1039.0
la trinitat nova,Barri,No consta,2005,
torre baro,Barri,Espanya,2005,2048.0
torre baro,Barri,Resta de la Unió Europea,2005,10.0
torre baro,Barri,Resta del món,2005,156.0
torre baro,Barri,No consta,2005,
ciutat meridiana,Barri,Espanya,2005,7882.0
ciutat meridiana,Barri,Resta de la Unió Europea,2005,54.0
ciutat meridiana,Barri,Resta del món,2005,2345.0
ciutat meridiana,Barri,No consta,2005,
vallbona,Barri,Espanya,2005,899.0
vallbona,Barri,Resta de la Unió Europea,2005,13.0
vallbona,Barri,Resta del món,2005,65.0
vallbona,Barri,No consta,2005,
la trinitat vella,Barri,Espanya,2005,7055.0
la trinitat vella,Barri,Resta de la Unió Europea,2005,53.0
la trinitat vella,Barri,Resta del món,2005,2189.0
la trinitat vella,Barri,No consta,2005,
baro de viver,Barri,Espanya,2005,2300.0
baro de viver,Barri,Resta de la Unió Europea,2005,5.0
baro de viver,Barri,Resta del món,2005,77.0
baro de viver,Barri,No consta,2005,
el bon pastor,Barri,Espanya,2005,10591.0
el bon pastor,Barri,Resta de la Unió Europea,2005,63.0
el bon pastor,Barri,Resta del món,2005,1078.0
el bon pastor,Barri,No consta,2005,
sant andreu,Barri,Espanya,2005,51462.0
sant andreu,Barri,Resta de la Unió Europea,2005,470.0
sant andreu,Barri,Resta del món,2005,3474.0
sant andreu,Barri,No consta,2005,8.0
la sagrera,Barri,Espanya,2005,25974.0
la sagrera,Barri,Resta de la Unió Europea,2005,209.0
la sagrera,Barri,Resta del món,2005,2647.0
la sagrera,Barri,No consta,2005,
el congres i els indians,Barri,Espanya,2005,12556.0
el congres i els indians,Barri,Resta de la Unió Europea,2005,125.0
el congres i els indians,Barri,Resta del món,2005,1149.0
el congres i els indians,Barri,No consta,2005,
navas,Barri,Espanya,2005,19330.0
navas,Barri,Resta de la Unió Europea,2005,225.0
navas,Barri,Resta del món,2005,2163.0
navas,Barri,No consta,2005,9.0
el camp de larpa del clot,Barri,Espanya,2005,33264.0
el camp de larpa del clot,Barri,Resta de la Unió Europea,2005,582.0
el camp de larpa del clot,Barri,Resta del món,2005,4630.0
el camp de larpa del clot,Barri,No consta,2005,10.0
el clot,Barri,Espanya,2005,23858.0
el clot,Barri,Resta de la Unió Europea,2005,365.0
el clot,Barri,Resta del món,2005,2618.0
el clot,Barri,No consta,2005,
el parc i la llacuna del poblenou,Barri,Espanya,2005,11053.0
el parc i la llacuna del poblenou,Barri,Resta de la Unió Europea,2005,323.0
el parc i la llacuna del poblenou,Barri,Resta del món,2005,1803.0
el parc i la llacuna del poblenou,Barri,No consta,2005,15.0
la vila olimpica del poblenou,Barri,Espanya,2005,7200.0
la vila olimpica del poblenou,Barri,Resta de la Unió Europea,2005,557.0
la vila olimpica del poblenou,Barri,Resta del món,2005,706.0
la vila olimpica del poblenou,Barri,No consta,2005,29.0
el poblenou,Barri,Espanya,2005,25450.0
el poblenou,Barri,Resta de la Unió Europea,2005,637.0
el poblenou,Barri,Resta del món,2005,2936.0
el poblenou,Barri,No consta,2005,
diagonal mar i el front maritim del poblenou,Barri,Espanya,2005,7937.0
diagonal mar i el front maritim del poblenou,Barri,Resta de la Unió Europea,2005,302.0
diagonal mar i el front maritim del poblenou,Barri,Resta del món,2005,624.0
diagonal mar i el front maritim del poblenou,Barri,No consta,2005,
el besos i el maresme,Barri,Espanya,2005,18681.0
el besos i el maresme,Barri,Resta de la Unió Europea,2005,124.0
el besos i el maresme,Barri,Resta del món,2005,3252.0
el besos i el maresme,Barri,No consta,2005,10.0
provencals del poblenou,Barri,Espanya,2005,16266.0
provencals del poblenou,Barri,Resta de la Unió Europea,2005,180.0
provencals del poblenou,Barri,Resta del món,2005,1532.0
provencals del poblenou,Barri,No consta,2005,5.0
sant marti de provencals,Barri,Espanya,2005,24710.0
sant marti de provencals,Barri,Resta de la Unió Europea,2005,221.0
sant marti de provencals,Barri,Resta del món,2005,1649.0
sant marti de provencals,Barri,No consta,2005,
la verneda i la pau,Barri,Espanya,2005,27800.0
la verneda i la pau,Barri,Resta de la Unió Europea,2005,160.0
la verneda i la pau,Barri,Resta del món,2005,1992.0
la verneda i la pau,Barri,No consta,2005,
el raval,Barri,Espanya,2006,25425.0
el raval,Barri,Resta de la Unió Europea,2006,2237.0
